,PROPERTY TYPE,CITY,ZIP OR POSTAL CODE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,LATITUDE,LONGITUDE,PRICE,DAYS ON MARKET,COUNTY,median_sale_price,median_sale_ppsf,total_homes_sold,percent_homes_sold_with_price_drops,price_drops,inventory,total_active_listings,median_active_list_price
112,Vacant Land,Stafford,22554,,,,57495.0,,,38.48432254,-77.3864473,1000000,812.0,STAFFORD COUNTY,,,,,,,,
113,Vacant Land,Stafford,22554,,,,451269.0,,,38.48559105,-77.38984099,500000,813.0,STAFFORD COUNTY,,,,,,,,
114,Vacant Land,Stafford,22554,,,,217800.0,,,38.39841,-77.42254,550000,870.0,STAFFORD COUNTY,,,,,,,,
115,Vacant Land,Stafford,22554,,,,496584.0,,,38.3649675,-77.2966775,755000,1246.0,STAFFORD COUNTY,,,,,,,,
116,Vacant Land,Stafford,22554,,,,,,,38.48359729,-77.38668518,1000000,1262.0,STAFFORD COUNTY,,,,,,,,
117,Vacant Land,Stafford,22554,,,,135080.0,,,38.39208531,-77.39808656,115000,2260.0,STAFFORD COUNTY,,,,,,,,
118,Single Family Residential,Stafford,22554,4.0,2.0,1907.0,87120.0,1940.0,,38.408119,-77.416539,850000,2920.0,STAFFORD COUNTY,,,,,,,,
119,Vacant Land,Stafford,22554,,,,123018.0,,,38.46724,-77.41829,990000,4577.0,STAFFORD COUNTY,,,,,,,,
120,Single Family Residential,Stafford,22554,4.0,3.5,2853.0,,2023.0,,38.461378,-77.391043,674990,17.0,STAFFORD COUNTY,,,,,,,,
121,Condo/Co-op,Stafford,22554,3.0,2.0,1613.0,,2022.0,,38.45646,-77.42917,474101,260.0,STAFFORD COUNTY,,,,,,,,
122,Condo/Co-op,Stafford,22554,2.0,2.0,1428.0,,2022.0,,38.45646,-77.42917,450000,260.0,STAFFORD COUNTY,,,,,,,,
123,Condo/Co-op,Stafford,22554,3.0,2.0,1613.0,,2022.0,,38.45646,-77.42917,486711,260.0,STAFFORD COUNTY,,,,,,,,
124,Single Family Residential,Stafford,22554,4.0,2.5,2634.0,,,,38.4410653,-77.4343842,691900,,STAFFORD COUNTY,,,,,,,,
125,Multi-Family (2-4 Unit),Stafford,22554,4.0,2.5,2120.0,,,,38.467797,-77.4256599,479990,,STAFFORD COUNTY,,,,,,,,
126,Single Family Residential,Stafford,22554,3.0,2.5,3199.0,,,,38.4537428,-77.4304392,527990,,STAFFORD COUNTY,,,,,,,,
127,Single Family Residential,Stafford,22554,3.0,2.5,2079.0,,,,38.4537428,-77.4304392,474990,,STAFFORD COUNTY,,,,,,,,
128,Single Family Residential,Stafford,22554,4.0,2.5,2970.0,,,,38.441233,-77.435424,671990,,STAFFORD COUNTY,,,,,,,,
129,Single Family Residential,Stafford,22554,3.0,2.5,2680.0,,,,38.441233,-77.435424,645990,,STAFFORD COUNTY,,,,,,,,
130,Single Family Residential,Stafford,22554,4.0,2.5,2540.0,,,,38.441233,-77.435424,635990,,STAFFORD COUNTY,,,,,,,,
131,Single Family Residential,Stafford,22554,3.0,2.5,2570.0,,,,38.441233,-77.435424,645990,,STAFFORD COUNTY,,,,,,,,
132,Single Family Residential,Stafford,22554,4.0,3.5,3221.0,,,,38.4410653,-77.4343842,764900,,STAFFORD COUNTY,,,,,,,,
133,Single Family Residential,Stafford,22554,4.0,3.5,3446.0,,,,38.4410653,-77.4343842,788900,,STAFFORD COUNTY,,,,,,,,
134,Single Family Residential,Stafford,22554,4.0,2.5,2761.0,,,,38.4410653,-77.4343842,720900,,STAFFORD COUNTY,,,,,,,,
